name,move_sec,length,speed_kmh,move_to_ts_name,self_ts_name,self_busy_sec
1-9СП(1+;3+;9+),12,146.0,43.8,НАП(к),1-9СП(к),1600312762
НАП,30,376.0,45.12,Н1ИП,НАП(к),1600312774
ЧДП,30,223.0,26.76,2-8СП(к),ЧДП(к),1600314345
ЧДП,18,223.0,44.6,2-8СП(к),ЧДП(к),1600315249
НАП,30,376.0,45.12,1-9СП(к),НАП(к),1600315483
1-9СП(1+;3-),7,108.0,55.5429,5-13СП(к),1-9СП(к),1600315513
1-9СП(1+;3+;9-),15,146.0,35.04,НАП(к),1-9СП(к),1600315730
НАП,45,376.0,30.08,Н1ИП,НАП(к),1600315745
НАП,18,376.0,75.2,1-9СП(к),НАП(к),1600317371
1-9СП(1+;3+;9+),8,146.0,65.7,2АП(к),1-9СП(к),1600317389
НАП,24,376.0,56.4,1-9СП(к),НАП(к),1600318056
1-9СП(1+;3+;9+),10,146.0,52.56,2АП(к),1-9СП(к),1600318080
4СП(4+),24,332.0,49.8,Ч1УП,4СП(к),1600318174
ЧДП,27,223.0,29.7333,2-8СП(к),ЧДП(к),1600318432
1-9СП(1-),13,39.0,10.8,НАП(к),1-9СП(к),1600318476
НАП,132,376.0,10.2545,1-9СП(к),НАП(к),1600318489
1-9СП(1+;3+;9-),24,146.0,21.9,НАП(к),1-9СП(к),1600318786
НАП,50,376.0,27.072,Н1ИП,НАП(к),1600318810
НАП,403,376.0,3.35881,1-9СП(к),НАП(к),1600319287
ЧДП,384,223.0,2.09063,2-8СП(к),ЧДП(к),1600319964
НАП,30,376.0,45.12,1-9СП(к),НАП(к),1600321088
1-9СП(1+;3+;9+),11,146.0,47.7818,2АП(к),1-9СП(к),1600321118
4СП(4+),22,332.0,54.3273,Ч1УП,4СП(к),1600321232
ЧДП,21,223.0,38.2286,2-8СП(к),ЧДП(к),1600322512
1-9СП(1+;3+;9-),11,146.0,47.7818,НАП(к),1-9СП(к),1600322643
НАП,33,376.0,41.0182,Н1ИП,НАП(к),1600322654
НАП,27,376.0,50.1333,1-9СП(к),НАП(к),1600324365
1-9СП(1+;3+;9+),9,146.0,58.4,2АП(к),1-9СП(к),1600324392
4СП(4+),24,332.0,49.8,Ч1УП,4СП(к),1600324489
НАП,22,376.0,61.5273,1-9СП(к),НАП(к),1600324784
1-9СП(1+;3+;9+),14,146.0,37.5429,2АП(к),1-9СП(к),1600324806
4СП(4+),31,332.0,38.5548,Ч1УП,4СП(к),1600324928
ЧДП,23,223.0,34.9043,2-8СП(к),ЧДП(к),1600326837
НАП,41,376.0,33.0146,1-9СП(к),НАП(к),1600326910
1-9СП(1+;3+;9+),23,146.0,22.8522,2АП(к),1-9СП(к),1600326951
4СП(4+),34,332.0,35.1529,Ч1УП,4СП(к),1600327146
4СП(4+),35,332.0,34.1486,6-14СП(к),4СП(к),1600330218
1-9СП(1+;3-),11,108.0,35.3455,НАП(к),1-9СП(к),1600330582
4СП(4+),30,332.0,39.84,6-14СП(к),4СП(к),1600330834
1-9СП(1+;3+;9+),12,146.0,43.8,НАП(к),1-9СП(к),1600330962
4СП(4+),19,332.0,62.9053,6-14СП(к),4СП(к),1600331526
4СП(4+),23,332.0,51.9652,6-14СП(к),4СП(к),1600332297
1-9СП(1+;3+;9+),10,146.0,52.56,НАП(к),1-9СП(к),1600332405
НАП,30,376.0,45.12,Н1ИП,НАП(к),1600332415
4СП(4+),22,332.0,54.3273,6-14СП(к),4СП(к),1600333041
1-9СП(1+;3+;9+),12,146.0,43.8,НАП(к),1-9СП(к),1600333146
НАП,30,376.0,45.12,Н1ИП,НАП(к),1600333158
4СП(4+),22,332.0,54.3273,6-14СП(к),4СП(к),1600334162
1-9СП(1+;3+;9+),11,146.0,47.7818,НАП(к),1-9СП(к),1600334268
